Postalcode,Borough,Neighborhood,Latitude,Longitude
M4M,East Toronto,Studio District,43.66091000000006,-79.33502999999996
M4N,Central Toronto,Lawrence Park,43.728980000000035,-79.39172999999994
M4P,Central Toronto,Davisville North,43.71276000000006,-79.38850999999994
M4R,Central Toronto,North Toronto West,43.71452000000005,-79.40695999999997
M4S,Central Toronto,Davisville,43.703400000000045,-79.38595999999995
M4T,Central Toronto,"Moore Park, Summerhill East",43.69066000000004,-79.38355999999999
M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68569000000008,-79.40231999999997
M4W,Downtown Toronto,Rosedale,43.68190000000004,-79.37849999999997
M4X,Downtown Toronto,"Cabbagetown, St. James Town",43.667880000000025,-79.36648999999994
M4Y,Downtown Toronto,Church and Wellesley,43.66659000000004,-79.38129999999995
M5A,Downtown Toronto,"Harbourfront, Regent Park",43.655140000000074,-79.36264999999997
M5B,Downtown Toronto,"Ryerson, Garden District",43.65736000000004,-79.37817999999999
M5C,Downtown Toronto,St. James Town,43.65143000000006,-79.37556999999998
M5E,Downtown Toronto,Berczy Park,43.64531000000005,-79.37367999999998
M5G,Downtown Toronto,Central Bay Street,43.65609000000006,-79.38492999999994
M5H,Downtown Toronto,"Adelaide, King, Richmond",43.64970000000005,-79.38257999999996
M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.64285000000007,-79.38039999999995
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.64710000000008,-79.38152999999994
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64823000000007,-79.37889999999999
M5M,North York,"Bedford Park, Lawrence Manor East",43.735460000000046,-79.41914999999995
M5N,Central Toronto,Roselawn,43.71194000000003,-79.41911999999996
M5P,Central Toronto,"Forest Hill North, Forest Hill West",43.69479000000007,-79.41439999999994
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.674840000000074,-79.40184999999997
M5S,Downtown Toronto,"Harbord, University of Toronto",43.663110000000074,-79.40179999999998
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.65351000000004,-79.39721999999995
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.640820000000076,-79.39955999999995
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.648690000000045,-79.38543999999996
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.64828000000006,-79.38145999999995
M6A,North York,"Lawrence Heights, Lawrence Manor",43.72321000000005,-79.45140999999995
M6B,North York,Glencairn,43.70799000000005,-79.44837999999999
M6C,York,Humewood-Cedarvale,43.69211000000007,-79.43035999999995
M6E,York,Caledonia-Fairbanks,43.68784000000005,-79.45045999999996
M6G,Downtown Toronto,Christie,43.66878000000003,-79.42070999999999
M6H,West Toronto,"Dovercourt Village, Dufferin",43.66509000000008,-79.43870999999996
M6J,West Toronto,"Little Portugal, Trinity",43.64873000000006,-79.41783999999996
M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.639410000000055,-79.42675999999994
M6L,North York,"Downsview, North Park, Upwood Park",43.71381000000008,-79.48830999999996
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.69468000000006,-79.48346999999995
M6N,York,"The Junction North, Runnymede",43.676180000000045,-79.48251999999997
M6P,West Toronto,"High Park, The Junction South",43.65994000000006,-79.46301999999997
M6R,West Toronto,"Parkdale, Roncesvalles",43.64785000000006,-79.45019999999994
M6S,West Toronto,"Runnymede, Swansea",43.65034000000003,-79.47570999999994
M7A,Queen's Park,Queen's Park,43.66449000000006,-79.39301999999998
M7R,Mississauga,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999996
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.648690000000045,-79.38543999999996
M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.60987000000006,-79.49692999999996
M8W,Etobicoke,"Alderwood, Long Branch",43.601080000000024,-79.53890999999999
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65369000000004,-79.51111999999995
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.63288000000006,-79.48954999999995
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.624630000000025,-79.52834999999999
M9A,Etobicoke,Islington Avenue,43.66277000000008,-79.52830999999998
M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.65279000000004,-79.55405999999994
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.648900000000026,-79.57824999999997
M9L,North York,Humber Summit,43.75948000000005,-79.55724999999995
M9M,North York,"Emery, Humberlea",43.733670000000075,-79.53686999999996
M9N,York,Weston,43.70357000000007,-79.51644999999996
M9P,Etobicoke,Westmount,43.69623000000007,-79.52925999999997
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.68674000000004,-79.55728999999997
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.744530000000054,-79.58623999999998
M9W,Etobicoke,Northwest,43.71174000000008,-79.57917999999995
